stake;upper;lower;d;x;y;PH;CLAY;EXPH;EXCA;EXMG;ECEC;TOOC;TOPH;TOCA;FRAG
43;0;20;10;808081.284;9639883.612;4.81;290;113;1.35;0.28;3.7199777035;15.4;0.8;0.5;0.27
43;20;40;30;808081.284;9639883.612;5.05;373.5;116;1.25;0.2;5.6099888517;10.9;0.9;0.7;0.03
43;40;60;50;808081.284;9639883.612;5.09;474.5;104;0.96;0.22;4.8699888517;7.9;1;0.4;0
43;60;80;70;808081.284;9639883.612;5.07;536;107;0.78;0.23;3.212296544;6.1;1;0.3;0.05
43;80;100;90;808081.284;9639883.612;5.03;570.5;115;0.64;0.18;5.7597324415;5.7;1.1;0.2;0
44;0;20;10;808071.898;9639870.903;4.61;299.5;113;0.61;0.17;4.6451170569;16.1;0.7;0.3;0.19
44;20;40;30;808071.898;9639870.903;4.72;445.5;121;0.57;0.16;5.2097324415;9.1;1.1;0.3;0.42
44;40;60;50;808071.898;9639870.903;4.74;484.5;124;0.52;0.13;4.4246042363;7.9;1.1;0.2;0
44;60;80;70;808071.898;9639870.903;4.87;507.5;157;0.56;0.13;6.142296544;7.2;1.2;0.3;1.59
44;80;100;90;808071.898;9639870.903;4.82;460;296;0.57;0.11;6.5740802676;12.9;1.9;0.3;0
45;0;20;10;808104.402;9639831.799;4.78;360.5;70;2.14;0.45;6.6415273133;17.8;0.7;0.7;0.05
45;20;40;30;808104.402;9639831.799;4.87;542;54;0.99;0.35;3.722296544;8.8;0.7;0.4;0
45;40;60;50;808104.402;9639831.799;4.98;605;67;0.96;0.29;2.9540802676;6.3;0.9;0.3;0
45;60;80;70;808104.402;9639831.799;5.04;610.5;100;0.93;0.15;3.5046042363;5;0.8;0.3;0
45;80;100;90;808104.402;9639831.799;5.15;598.5;112;0.96;0.11;2.2994760312;4.1;0.9;0.4;0
46;0;20;10;808119.529;9639853.788;5.9;233;94;3.93;0.96;7.4445930881;18.5;0.6;1.2;0.6
46;20;40;30;808119.529;9639853.788;5.59;397;108;1.54;0.5;4.3484503902;9.7;0.9;0.6;0.28
46;40;60;50;808119.529;9639853.788;5.37;461.5;112;1.15;0.45;4.5505016722;8.6;1.1;0.4;0.08
46;60;80;70;808119.529;9639853.788;5.25;561.5;107;1;0.37;3.320245262;6.2;1;0.4;0
46;80;100;90;808119.529;9639853.788;5.18;604;123;0.84;0.26;2.4448606466;4.3;1;0.3;0
47;0;20;10;808140.724;9639882.401;5.63;223;86;2.94;0.71;5.6174136009;16.1;0.8;1.1;0.29
47;20;40;30;808140.724;9639882.401;5.58;308;120;1.94;0.31;4.3848606466;10.5;0.8;0.6;0.27
47;40;60;50;808140.724;9639882.401;5.32;419;114;1.31;0.33;4.6692084727;4.3;0.8;0.5;0.63
47;60;80;70;808140.724;9639882.401;5.37;537.5;105;0.92;0.41;4.6094760312;8.8;1;0.3;0
47;80;100;90;808140.724;9639882.401;5.22;571;103;0.7;0.4;3.5994760312;4.8;0.9;0.3;0
48;0;20;10;808151.154;9639807.053;5.25;413.5;114;1.72;0.57;5.4969119287;13.9;1;0.7;0.1
48;20;40;30;808151.154;9639807.053;5.11;568.5;105;1.04;0.37;3.4328093645;8;1.1;0.4;0
48;40;60;50;808151.154;9639807.053;5.01;589.5;132;0.9;0.28;4.4494648829;5.7;1.1;0.3;0
48;60;80;70;808151.154;9639807.053;5.04;608.5;142;0.87;0.22;3.781516165;6.3;1.1;0.3;0
48;80;100;90;808151.154;9639807.053;5.15;627;162;0.95;0.25;3.0840802676;4;1;0.3;0
49;0;20;10;808159.371;9639821.742;5.93;360.5;213;3.68;0.79;6.8502341137;13.5;1.1;1.4;0
